Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RaceName
0 days 01:03:52.673000,RUS,63,0 days 00:01:32.694000,1.0,1.0,,,,0 days 00:00:18.344000,0 days 00:00:36.548000,,0 days 01:03:16.422000,0 days 01:03:52.856000,240.0,288.0,291.0,234.0,False,MEDIUM,1.0,True,Mercedes,0 days 01:02:19.743000,2026-03-08 04:03:26.366,1,2.0,False,,False,False,Australian Grand Prix
0 days 01:05:17.680000,RUS,63,0 days 00:01:25.007000,2.0,1.0,,,0 days 00:00:29.753000,0 days 00:00:17.841000,0 days 00:00:37.413000,0 days 01:04:22.530000,0 days 01:04:40.371000,0 days 01:05:17.784000,259.0,273.0,290.0,273.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:03:52.673000,2026-03-08 04:04:59.296,1,1.0,False,,False,True,Australian Grand Prix
0 days 01:06:44.124000,RUS,63,0 days 00:01:26.444000,3.0,1.0,,,0 days 00:00:29.845000,0 days 00:00:18.533000,0 days 00:00:38.066000,0 days 01:05:47.629000,0 days 01:06:06.162000,0 days 01:06:44.228000,269.0,289.0,286.0,264.0,False,MEDIUM,3.0,True,Mercedes,0 days 01:05:17.680000,2026-03-08 04:06:24.303,1,2.0,False,,False,True,Australian Grand Prix
0 days 01:08:08.913000,RUS,63,0 days 00:01:24.789000,4.0,1.0,,,0 days 00:00:29.949000,0 days 00:00:17.802000,0 days 00:00:37.038000,0 days 01:07:14.177000,0 days 01:07:31.979000,0 days 01:08:09.017000,269.0,286.0,298.0,271.0,True,MEDIUM,4.0,True,Mercedes,0 days 01:06:44.124000,2026-03-08 04:07:50.747,1,2.0,False,,False,True,Australian Grand Prix
0 days 01:09:32.930000,RUS,63,0 days 00:01:24.017000,5.0,1.0,,,0 days 00:00:29.636000,0 days 00:00:17.848000,0 days 00:00:36.533000,0 days 01:08:38.653000,0 days 01:08:56.501000,0 days 01:09:33.034000,264.0,305.0,296.0,291.0,True,MEDIUM,5.0,True,Mercedes,0 days 01:08:08.913000,2026-03-08 04:09:15.536,1,2.0,False,,False,True,Australian Grand Prix
0 days 01:10:57.569000,RUS,63,0 days 00:01:24.639000,6.0,1.0,,,0 days 00:00:29.498000,0 days 00:00:17.709000,0 days 00:00:37.432000,0 days 01:10:02.532000,0 days 01:10:20.241000,0 days 01:10:57.673000,263.0,291.0,314.0,298.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:09:32.930000,2026-03-08 04:10:39.553,1,2.0,False,,False,True,Australian Grand Prix
0 days 01:12:21.668000,RUS,63,0 days 00:01:24.099000,7.0,1.0,,,0 days 00:00:29.617000,0 days 00:00:18.059000,0 days 00:00:36.423000,0 days 01:11:27.290000,0 days 01:11:45.349000,0 days 01:12:21.772000,263.0,288.0,307.0,285.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:10:57.569000,2026-03-08 04:12:04.192,1,2.0,False,,False,True,Australian Grand Prix
0 days 01:13:46.858000,RUS,63,0 days 00:01:25.190000,8.0,1.0,,,0 days 00:00:29.435000,0 days 00:00:18.391000,0 days 00:00:37.364000,0 days 01:12:51.207000,0 days 01:13:09.598000,0 days 01:13:46.962000,258.0,287.0,316.0,301.0,False,MEDIUM,8.0,True,Mercedes,0 days 01:12:21.668000,2026-03-08 04:13:28.291,1,2.0,False,,False,True,Australian Grand Prix
0 days 01:15:12.836000,RUS,63,0 days 00:01:25.978000,9.0,1.0,,,0 days 00:00:31.313000,0 days 00:00:18.163000,0 days 00:00:36.502000,0 days 01:14:18.275000,0 days 01:14:36.438000,0 days 01:15:12.940000,258.0,280.0,304.0,298.0,False,MEDIUM,9.0,True,Mercedes,0 days 01:13:46.858000,2026-03-08 04:14:53.481,1,2.0,False,,False,True,Australian Grand Prix
0 days 01:16:36.948000,RUS,63,0 days 00:01:24.112000,10.0,1.0,,,0 days 00:00:29.655000,0 days 00:00:18.171000,0 days 00:00:36.286000,0 days 01:15:42.595000,0 days 01:16:00.766000,0 days 01:16:37.052000,261.0,291.0,307.0,289.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:15:12.836000,2026-03-08 04:16:19.459,1,2.0,False,,False,True,Australian Grand Prix
0 days 01:18:00.915000,RUS,63,0 days 00:01:23.967000,11.0,1.0,,,0 days 00:00:29.442000,0 days 00:00:18.107000,0 days 00:00:36.418000,0 days 01:17:06.494000,0 days 01:17:24.601000,0 days 01:18:01.019000,265.0,301.0,305.0,305.0,True,MEDIUM,11.0,True,Mercedes,0 days 01:16:36.948000,2026-03-08 04:17:43.571,1,2.0,False,,False,True,Australian Grand Prix
0 days 01:20:06.855000,RUS,63,0 days 00:02:05.940000,12.0,1.0,,0 days 01:19:51.153000,0 days 00:00:40.129000,0 days 00:00:29.038000,0 days 00:00:56.773000,0 days 01:18:41.148000,0 days 01:19:10.186000,0 days 01:20:06.959000,243.0,149.0,,279.0,False,MEDIUM,12.0,True,Mercedes,0 days 01:18:00.915000,2026-03-08 04:19:07.538,16,3.0,False,,False,False,Australian Grand Prix
0 days 01:22:04.514000,RUS,63,0 days 00:01:57.659000,13.0,2.0,0 days 01:20:09.298000,,0 days 00:00:42.643000,0 days 00:00:28.724000,0 days 00:00:46.292000,0 days 01:20:49.602000,0 days 01:21:18.326000,0 days 01:22:04.618000,158.0,141.0,218.0,215.0,False,HARD,1.0,True,Mercedes,0 days 01:20:06.855000,2026-03-08 04:21:13.478,67,3.0,False,,False,False,Australian Grand Prix
0 days 01:23:31.608000,RUS,63,0 days 00:01:27.094000,14.0,2.0,,,0 days 00:00:32.616000,0 days 00:00:18.054000,0 days 00:00:36.424000,0 days 01:22:37.234000,0 days 01:22:55.288000,0 days 01:23:31.712000,267.0,296.0,281.0,187.0,False,HARD,2.0,True,Mercedes,0 days 01:22:04.514000,2026-03-08 04:23:11.137,71,3.0,False,,False,False,Australian Grand Prix
0 days 01:24:54.433000,RUS,63,0 days 00:01:22.825000,15.0,2.0,,,0 days 00:00:29.080000,0 days 00:00:17.746000,0 days 00:00:35.999000,0 days 01:24:00.792000,0 days 01:24:18.538000,0 days 01:24:54.537000,263.0,300.0,283.0,291.0,True,HARD,3.0,True,Mercedes,0 days 01:23:31.608000,2026-03-08 04:24:38.231,1,3.0,False,,False,True,Australian Grand Prix
